,R,L,cost
578,0.24,0.37,177605.85106052607
579,0.24,0.39,177842.84051270437
580,0.24,0.41,178119.2677762383
581,0.24,0.43,178427.59321962818
582,0.24,0.45,178778.12161485048
583,0.24,0.47,179211.64534452392
584,0.24,0.49,179697.62545569031
585,0.24,0.51,180247.3764287965
586,0.24,0.53,180892.73906828873
587,0.24,0.55,181615.96947471233
588,0.24,0.57,182406.4918117613
589,0.24,0.59,183255.99531524655
590,0.24,0.61,184158.6757350666
591,0.24,0.63,185111.43727374272
592,0.24,0.66,186625.93852388716
593,0.24,0.68,187683.90856490083
594,0.24,0.7,188779.26360174787
595,0.24,0.72,190038.03823865153
596,0.24,0.74,191653.96125975414
597,0.24,0.76,193569.14328102735
598,0.24,0.78,196020.3093718482
599,0.24,0.8,198847.69075039888
600,0.25,0.2,177784.77517615908
601,0.25,0.22,177779.13157274522
602,0.25,0.24,177773.48862042316
603,0.25,0.26,177767.84631826924
604,0.25,0.28,177762.2046663
605,0.25,0.3,177756.56365846354
606,0.25,0.32,177750.92326264933
607,0.25,0.34,177745.2835083101
608,0.25,0.37,177874.96202925508
609,0.25,0.39,178073.49733576778
610,0.25,0.41,178320.17530712992
611,0.25,0.43,178603.87647630766
612,0.25,0.45,178917.8705982421
613,0.25,0.47,179283.43208089055
614,0.25,0.49,179726.63722250663
615,0.25,0.51,180239.43246293755
616,0.25,0.53,180843.27960923224
617,0.25,0.55,181524.11010255344
618,0.25,0.57,182274.6301413837
619,0.25,0.59,183086.0844760932
620,0.25,0.61,183951.1834389103
621,0.25,0.63,184864.71881082284
622,0.25,0.66,186315.3582881388
623,0.25,0.68,187327.74933793198
624,0.25,0.7,188369.5400213036
625,0.25,0.72,189452.1998304126
626,0.25,0.74,190717.96768274953
627,0.25,0.76,192334.60777173605
628,0.25,0.78,194288.54998437816
629,0.25,0.8,196801.16996309505
630,0.25,0.2,177784.77517615908
631,0.25,0.22,177779.13157274522
632,0.25,0.24,177773.48862042316
633,0.25,0.26,177767.84631826924
634,0.25,0.28,177762.2046663
635,0.25,0.3,177756.56365846354
636,0.25,0.32,177750.92326264933
637,0.25,0.34,177745.2835083101
638,0.25,0.37,177874.96202925508
639,0.25,0.39,178073.49733576778
