,R,L,cost
540,0.23,0.2,105080.45625768534
541,0.23,0.22,105190.5253651448
542,0.23,0.24,105342.60494350063
543,0.23,0.26,105534.24917506511
544,0.23,0.28,105763.30695113415
545,0.23,0.3,106025.93969172619
546,0.23,0.32,106318.52694174054
547,0.23,0.34,106639.19556200328
548,0.23,0.37,107169.28606524027
549,0.23,0.39,107552.38083064342
550,0.23,0.41,107959.23814788295
551,0.23,0.43,108388.45782827865
552,0.23,0.45,108839.49337730058
553,0.23,0.47,109313.14178212956
554,0.23,0.49,109808.50783793627
555,0.23,0.51,110325.64802525558
556,0.23,0.53,110865.7558762135
557,0.23,0.55,111428.1651245244
558,0.23,0.57,112013.84486047775
559,0.23,0.59,112623.24088497188
560,0.23,0.61,113256.23335468442
561,0.23,0.63,113914.56172821636
562,0.23,0.66,114948.4409320588
563,0.23,0.68,115670.29042190198
564,0.23,0.7,116417.65279534127
565,0.23,0.72,117191.98131491097
566,0.23,0.74,117992.64851650594
567,0.23,0.76,118817.27068136664
568,0.23,0.78,119656.83113194123
569,0.23,0.8,120519.11776465565
570,0.24,0.2,105793.87592101457
571,0.24,0.22,105897.89172990473
572,0.24,0.24,106043.79712464167
573,0.24,0.26,106230.17736759903
574,0.24,0.28,106455.18432247877
575,0.24,0.3,106715.04733566921
576,0.24,0.32,107006.23756284066
577,0.24,0.34,107326.79818054574
578,0.24,0.37,107858.92127123062
579,0.24,0.39,108244.69028750744
580,0.24,0.41,108655.07694269824
581,0.24,0.43,109088.64205106365
582,0.24,0.45,109544.63334975339
583,0.24,0.47,110023.80692240839
584,0.24,0.49,110525.21982016729
585,0.24,0.51,111048.73958823703
586,0.24,0.53,111595.63837806115
587,0.24,0.55,112165.07627526064
588,0.24,0.57,112757.80504945247
589,0.24,0.59,113374.39591318222
590,0.24,0.61,114014.6895913089
591,0.24,0.63,114680.12362277915
592,0.24,0.66,115724.58045748349
593,0.24,0.68,116453.15180292971
594,0.24,0.7,117203.33508885543
595,0.24,0.72,117967.63248779868
596,0.24,0.74,118753.33537584463
597,0.24,0.76,119572.50996979134
598,0.24,0.78,120428.84469356545
599,0.24,0.8,121318.58815535858
600,0.25,0.2,106512.51073287558
601,0.25,0.22,106611.4058291312
602,0.25,0.24,106751.95685507206
603,0.25,0.26,106933.39742909928
604,0.25,0.28,107154.42818099109
605,0.25,0.3,107411.59052315998
606,0.25,0.32,107701.40792556028
607,0.25,0.34,108021.83759316384
608,0.25,0.37,108555.89922044486
609,0.25,0.39,108944.28166095633
610,0.25,0.41,109358.16800384352
611,0.25,0.43,109796.03544153133
612,0.25,0.45,110257.05114543442
613,0.25,0.47,110741.81830400633
614,0.25,0.49,111249.29932574386
615,0.25,0.51,111779.39117027084
616,0.25,0.53,112333.20976082308
617,0.25,0.55,112909.70311798036
618,0.25,0.57,113509.8346330484
619,0.25,0.59,114133.88108064976
620,0.25,0.61,114781.65736804329
621,0.25,0.63,115454.14266596234
622,0.25,0.66,116488.29277943632
623,0.25,0.68,117204.0474660749
624,0.25,0.7,117951.56418649104
625,0.25,0.72,118733.53967199544
626,0.25,0.74,119546.06410063924
627,0.25,0.76,120387.74604987563
628,0.25,0.78,121257.17122779212
629,0.25,0.8,122154.86885578606
630,0.25,0.2,106512.51073287558
631,0.25,0.22,106611.4058291312
632,0.25,0.24,106751.95685507206
633,0.25,0.26,106933.39742909928
634,0.25,0.28,107154.42818099109
635,0.25,0.3,107411.59052315998
636,0.25,0.32,107701.40792556028
637,0.25,0.34,108021.83759316384
638,0.25,0.37,108555.89922044486
639,0.25,0.39,108944.28166095633
640,0.25,0.41,109358.16800384352
641,0.25,0.43,109796.03544153133
642,0.25,0.45,110257.05114543442
643,0.25,0.47,110741.81830400633
644,0.25,0.49,111249.29932574386
645,0.25,0.51,111779.39117027084
646,0.25,0.53,112333.20976082308
647,0.25,0.55,112909.70311798036
648,0.25,0.57,113509.8346330484
649,0.25,0.59,114133.88108064976
650,0.25,0.61,114781.65736804329
651,0.25,0.63,115454.14266596234
652,0.25,0.66,116488.29277943632
653,0.25,0.68,117204.0474660749
654,0.25,0.7,117951.56418649104
655,0.25,0.72,118733.53967199544
656,0.25,0.74,119546.06410063924
657,0.25,0.76,120387.74604987563
658,0.25,0.78,121257.17122779212
659,0.25,0.8,122154.86885578606
660,0.26,0.2,107235.92355533483
661,0.26,0.22,107330.46628589777
662,0.26,0.24,107466.268437539
663,0.26,0.26,107643.26376386099
664,0.26,0.28,107860.65831105469
665,0.26,0.3,108115.32295505881
666,0.26,0.32,108403.86826950086
667,0.26,0.34,108724.24696999622
668,0.26,0.37,109260.34730514047
669,0.26,0.39,109651.36187781273
670,0.26,0.41,110068.72311836759
671,0.26,0.43,110510.8680667472
672,0.26,0.45,110977.01317408776
673,0.26,0.47,111467.40310598625
674,0.26,0.49,111981.11671880896
675,0.26,0.51,112517.9461086115
676,0.26,0.53,113078.78685231246
677,0.26,0.55,113662.69970760407
678,0.26,0.57,114269.6263502941
679,0.26,0.59,114888.35099809957
680,0.26,0.61,115524.6134548913
681,0.26,0.63,116190.78453958768
682,0.26,0.66,117248.97086465309
683,0.26,0.68,117991.43210327304
684,0.26,0.7,118760.8332675994
685,0.26,0.72,119557.592819733
686,0.26,0.74,120380.73252622937
687,0.26,0.76,121230.9403531608
688,0.26,0.78,122107.80565849977
689,0.26,0.8,123012.19450027216
690,0.27,0.2,107963.5729975792
691,0.27,0.22,108054.68162062537
692,0.27,0.24,108186.41639517441
693,0.27,0.26,108359.47417506241
694,0.27,0.28,108573.59904466495
695,0.27,0.3,108826.01345327702
696,0.27,0.32,109113.44722696963
697,0.27,0.34,109433.85349513516
698,0.27,0.37,109972.00032477027
699,0.27,0.39,110365.78618902917
700,0.27,0.41,110786.78530525602
701,0.27,0.43,111233.35980764002
702,0.27,0.45,111704.68428353572
703,0.27,0.47,112200.83677896985
704,0.27,0.49,112721.07806870405
705,0.27,0.51,113263.05285432922
706,0.27,0.53,113816.31058836967
707,0.27,0.55,114391.47981447868
708,0.27,0.57,114997.02189786114
709,0.27,0.59,115632.46800513167
710,0.27,0.61,116294.93257001566
711,0.27,0.63,116984.3588676444
712,0.27,0.66,118066.29446466098
713,0.27,0.68,118820.34084994148
714,0.27,0.7,119599.76152221297
715,0.27,0.72,120405.66695644437
